[05-Oct-23 19:36:56 - INFO - init.py:53 - <module>()]  Web server ready
[05-Oct-23 19:36:56 - INFO - Processing.py:19 - __init__()]  Tag layout loaded
[05-Oct-23 19:36:56 - INFO - state.py:107 - makePublisher()]  Existing publisher destroyed
[05-Oct-23 19:36:56 - INFO - NetworkClient.cpp:141 - None()]  starting network client
[05-Oct-23 19:36:56 - INFO - state.py:112 - makePublisher()]  Robot publisher created: 2767 - WallEye
[05-Oct-23 19:36:56 - INFO - init.py:63 - <module>()]  Starting main loop
[05-Oct-23 19:36:58 - INFO - web_interface.py:46 - connect()]  Client connected
[05-Oct-23 19:36:58 - WARNING - web_interface.py:51 - disconnect()]  Client disconnected
[05-Oct-23 19:36:58 - INFO - web_interface.py:46 - connect()]  Client connected
[05-Oct-23 19:36:59 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:36:59 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:00 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:00 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:01 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:01 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:02 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:02 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:03 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:03 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:04 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:04 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:05 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:05 - INFO - web_interface.py:251 - pose_update()]  Running
[05-Oct-23 19:37:05 - INFO - web_interface.py:124 - import_config()]  Importing config
